Country Name,Country Code,Population_1961,Population_1962,Population_1963,Population_1964,Population_1965,Population_1966,Population_1967,Population_1968,Population_1969,Population_1970,Population_1971,Population_1972,Population_1973,Population_1974,Population_1975,Population_1976,Population_1977,Population_1978,Population_1979,Population_1980,Population_1981,Population_1982,Population_1983,Population_1984,Population_1985,Population_1986,Population_1987,Population_1988,Population_1989,Population_1990,Population_1991,Population_1992,Population_1993,Population_1994,Population_1995,Population_1996,Population_1997,Population_1998,Population_1999,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019
Aruba,ABW,57008,57812.0,58293.0,58638.0,58974.0,59338.0,59687.0,60026.0,60375.0,60720.0,61106.0,61516.0,61929.0,62221.0,62353.0,62280.0,62053.0,61782.0,61655.0,61774.0,62256.0,63051.0,63925.0,64574.0,64769.0,64375.0,63536.0,62756.0,62708.0,63845.0,66336.0,69945.0,74190.0,78364.0,81982.0,84866.0,87132.0,88974.0,90718.0,92582.0,94643.0,96753.0,98794.0,100530.0,101839.0,102653.0,103047.0,103185.0,103284.0,103502.0,103885.0,104407.0,105015.0,105639.0,106215.0,106754.0,107256.0,107742.0,108218.0
Afghanistan,AFG,10043473,10240903.0,10448782.0,10667187.0,10896272.0,11132831.0,11376429.0,11632919.0,11910332.0,12212449.0,12537934.0,12878279.0,13220727.0,13548526.0,13846699.0,14121060.0,14367873.0,14552014.0,14628013.0,14568397.0,14365380.0,14046518.0,13665443.0,13297094.0,13003977.0,12782029.0,12637842.0,12652504.0,12922806.0,13501347.0,14432961.0,15666419.0,17043636.0,18349141.0,19428852.0,20209789.0,20742628.0,21146553.0,21605526.0,22248302.0,23116610.0,24156099.0,25283793.0,26376442.0,27347816.0,28165646.0,28868053.0,29522860.0,30230529.0,31060834.0,32037115.0,33128808.0,34286524.0,35437036.0,36527463.0,37542312.0,38499020.0,39417130.0,40328382.0
Angola,AGO,4805453,4871943.0,4933162.0,4981209.0,5011970.0,5021206.0,5015148.0,5012897.0,5040270.0,5115366.0,5244348.0,5421697.0,5633061.0,5857777.0,6080993.0,6298270.0,6514474.0,6732974.0,6960159.0,7200591.0,7454314.0,7719157.0,7994525.0,8279469.0,8573214.0,8875994.0,9187932.0,9507893.0,9834435.0,10166689.0,10504676.0,10849262.0,11201499.0,11562876.0,11934837.0,12318451.0,12714775.0,13125328.0,13551802.0,13995922.0,14457955.0,14939297.0,15444068.0,15977354.0,16542562.0,17141332.0,17772242.0,18431687.0,19114374.0,19816151.0,20536301.0,21275151.0,22030834.0,22801361.0,23585466.0,24382247.0,25192245.0,26017577.0,26861322.0
Albania,ALB,1676635,1727885.0,1778922.0,1830167.0,1880570.0,1930115.0,1980881.0,2037188.0,2096187.0,2149658.0,2201744.0,2256677.0,2309992.0,2363057.0,2417435.0,2470818.0,2525503.0,2577926.0,2629213.0,2683058.0,2736799.0,2794635.0,2853906.0,2913950.0,2973861.0,3031352.0,3091889.0,3150224.0,3234898.0,3293097.0,3273246.0,3253396.0,3233545.0,3213695.0,3193844.0,3173994.0,3154143.0,3134293.0,3114442.0,3094592.0,3065550.0,3056357.0,3044922.0,3032196.0,3016678.0,2997645.0,2974991.0,2952163.0,2932269.0,2917711.0,2909862.0,2905056.0,2899734.0,2893730.0,2885303.0,2880690.0,2878041.0,2870940.0,2858710.0
Andorra,AND,8959,9559.0,10186.0,10822.0,11471.0,12131.0,12798.0,13478.0,14179.0,14909.0,15677.0,16474.0,17275.0,18046.0,18756.0,19400.0,19998.0,20579.0,21228.0,21976.0,22832.0,23794.0,24837.0,25930.0,27055.0,28194.0,29345.0,30520.0,31715.0,32937.0,34218.0,35531.0,36766.0,37781.0,38482.0,38788.0,38768.0,38656.0,38793.0,39403.0,40561.0,42160.0,44005.0,45809.0,47358.0,48618.0,49623.0,50325.0,50684.0,50676.0,50253.0,49455.0,48453.0,47507.0,46781.0,46351.0,46173.0,46176.0,46257.0
United Arab Emirates,ARE,108989,120591.0,133832.0,146972.0,159045.0,169437.0,179506.0,192609.0,213080.0,243718.0,284712.0,334913.0,393822.0,460520.0,533987.0,614828.0,702209.0,791882.0,878216.0,957267.0,1027054.0,1089017.0,1146959.0,1206550.0,1272055.0,1344635.0,1423313.0,1507576.0,1596287.0,1688611.0,1786146.0,1889795.0,1997369.0,2105810.0,2213779.0,2324653.0,2442672.0,2569054.0,2704952.0,2854006.0,3003602.0,3159593.0,3364561.0,3673223.0,4114750.0,4708288.0,5422869.0,6177204.0,6859454.0,7386744.0,7721832.0,7888173.0,7936617.0,7950639.0,7992572.0,8076756.0,8184935.0,8308028.0,8427562.0
Argentina,ARG,20950583,21285823.0,21621136.0,21956105.0,22290789.0,22624640.0,22958936.0,23297755.0,23646429.0,24008580.0,24386620.0,24779120.0,25181203.0,25585780.0,25988032.0,26385763.0,26781329.0,27179797.0,27588497.0,28012533.0,28452879.0,28907107.0,29372664.0,29845677.0,30322779.0,30803337.0,31286627.0,31769011.0,32246110.0,32714641.0,33173117.0,33621678.0,34060797.0,34491775.0,34915758.0,35332517.0,35742192.0,36146887.0,36549331.0,36951587.0,37355128.0,37759890.0,38164674.0,38567460.0,38967127.0,39362815.0,39755994.0,40150609.0,40551932.0,40856969.0,41328074.0,41797935.0,42265700.0,42730395.0,43191029.0,43647637.0,44100321.0,44548296.0,44990838.0
Armenia,ARM,1943799,2010748.0,2077714.0,2144070.0,2209355.0,2273084.0,2335238.0,2396344.0,2457226.0,2518453.0,2580167.0,2642015.0,2703397.0,2763475.0,2821651.0,2877688.0,2931755.0,2984092.0,3035115.0,3085113.0,3132855.0,3177902.0,3222275.0,3268706.0,3318408.0,3373968.0,3432813.0,3484837.0,3516329.0,3518016.0,3485137.0,3422495.0,3342325.0,3262428.0,3195863.0,3146688.0,3111600.0,3087270.0,3067678.0,3048320.0,3029489.0,3012850.0,2996873.0,2979732.0,2960354.0,2937465.0,2911846.0,2886917.0,2867465.0,2856749.0,2855973.0,2863599.0,2876828.0,2891503.0,2904529.0,2915027.0,2923615.0,2930524.0,2936430.0
American Samoa,ASM,19900,20519.0,21260.0,22037.0,22812.0,23561.0,24306.0,25009.0,25687.0,26314.0,26905.0,27460.0,27968.0,28441.0,28876.0,29262.0,29627.0,30038.0,30586.0,31346.0,32343.0,33537.0,34894.0,36334.0,37810.0,39311.0,40831.0,42334.0,43789.0,45154.0,46412.0,47552.0,48611.0,49625.0,50630.0,51620.0,52573.0,53470.0,54303.0,55029.0,55666.0,56221.0,56623.0,56791.0,56678.0,56243.0,55532.0,54695.0,53920.0,53342.0,53037.0,52949.0,52993.0,53067.0,53087.0,53019.0,52904.0,52756.0,52610.0
Antigua and Barbuda,ATG,55650,56493.0,57357.0,58299.0,59358.0,60576.0,61902.0,63182.0,64213.0,64843.0,65025.0,64798.0,64308.0,63770.0,63319.0,63007.0,62797.0,62673.0,62588.0,62500.0,62434.0,62413.0,62421.0,62420.0,62420.0,62388.0,62351.0,62406.0,62645.0,63168.0,64010.0,65116.0,66422.0,67848.0,69312.0,70813.0,72341.0,73858.0,75306.0,76647.0,77844.0,78928.0,79935.0,80973.0,82103.0,83342.0,84664.0,86034.0,87382.0,88664.0,89889.0,91046.0,92154.0,93201.0,94206.0,95169.0,96070.0,96932.0,97766.0
